word,popularity
чай,14.04
япония,7.90625
рис,6.23077
стена,5.68421
коммунизм,4.8125
дракон,4.66667
азия,3.88889
подделка,3.85714
мао,3.85714
конфуций,3.75
лапша,3.75
фарфор,3.54545
индия,2.91667
страна,2.8125
иероглиф,2.66667
россия,2
мандарин,2
палочки,2
тибет,2
корея,2
шёлковый путь,2
панда,2
кунг-фу,2
джеки чан,2
хуанхэ,2
шёлк,1.4
бумага,1.33333
порох,1.33333
иероглифы,1.3125
ваза,1.28571
мудрость,1.25
восток,1.25
китаец,1.25
пластик,1.2
лао-цзы,1.2
буддизм,1.125
компас,1.125
иглоукалывание,1.125
император,1.125
гонконг,1.125
тайвань,1.125
даосизм,1.125
арбуэ,1.125
сунь укун,1.125
шанхай,1.125
опиум,1
производство,1
горы,1
кимоно,1
население,1
суши,1
скит,1
воздушный змей,1
драконы,1
пагода,1
юань,1
инь-ян,0.8
дао,0.777778
пекин,0.777778
город,0.714286
поднебесье,0.666667
женьшень,0.666667
фэн-шуй,0.666667
поднебесная,0.666667
лотос,0.6
монголия,0.6
миллиард,0.6
шаолинь,0.6
айфон,0.5
глаза,0.5
гуанинь,0.5
культура,0.5
веер,0.5
флаг,0.5
самурай,0.5
каллиграфия,0.5
чаепитие,0.5
пуэр,0.5
узкоглазые,0.5
гонг,0.5
гороскоп,0.5
узкоглазый,0.5
бамбук,0.5
запретный город,0.5
многолюдность,0.5
море,0.333333
толпа,0.333333
дуализм,0.333333
солнце,0.333333
жестокость,0.333333
наука,0.333333
еда,0.333333
лошадь,0.333333
люди,0.333333
герой,0.333333
яблоко,0.333333
капуста,0.333333
тайна,0.333333
миф,0.333333
шуба,0.333333
кофе,0.333333
язык,0.333333
новый год,0.333333
перец,0.333333
экономика,0.333333
ссср,0.333333
велосипед,0.333333
рыба,0.333333
усы,0.333333
мудрец,0.333333
африка,0.333333
качество,0.333333
полёт,0.333333
хитрость,0.333333
глаз,0.333333
кит,0.333333
почта,0.333333
дзен,0.333333
обман,0.333333
календарь,0.333333
вертолёт,0.333333
аниме,0.333333
терапия,0.333333
будда,0.333333
киа,0.333333
заяц,0.333333
предупреждение,0.333333
маска,0.333333
величие,0.333333
дружба,0.333333
одежда,0.333333
петарда,0.333333
ню,0.333333
поклон,0.333333
джунгли,0.333333
апельсин,0.333333
полотно,0.333333
слон,0.333333
европа,0.333333
диктатор,0.333333
радиоприемник,0.333333
спор,0.333333
заводы,0.333333
си,0.333333
вещи,0.333333
количество,0.333333
грохот,0.333333
рабочий,0.333333
хлам,0.333333
казнь,0.333333
гимнаст,0.333333
цивилизация,0.333333
щель,0.333333
тростник,0.333333
численность,0.333333
тапки,0.333333
грузия,0.333333
папирус,0.333333
тоталитаризм,0.333333
желторотик,0.333333
олимпиада,0.333333
кий,0.333333
целлюлоза,0.333333
восемь,0.333333
сосед,0.333333
бусы,0.333333
гейша,0.333333
дельфин,0.333333
фигурное катание,0.333333
ксенон,0.333333
крепеж,0.333333
затмение,0.333333
англия,0.333333
стеклопакет,0.333333
блюдце,0.333333
гжель,0.333333
го,0.333333
фонарик,0.333333
пентатоника,0.333333
улун,0.333333
караван,0.333333
таможня,0.333333
фудзияма,0.333333
жёлтая пресса,0.333333
династия,0.333333
кин-дза-дза,0.333333
владивосток,0.333333
пинг,0.333333
нарды,0.333333
лама,0.333333
дешёвка,0.333333
немец,0.333333
доширак,0.333333
шелкопряд,0.333333
узбек,0.333333
статуэтка,0.333333
провинция,0.333333
евразия,0.333333
чайная,0.333333
ману чао,0.333333
республика,0.333333
рождаемость,0.333333
сан,0.333333
желтизна,0.333333
драгоценности,0.333333
сэнсэй,0.333333
тирада,0.333333
китаёза,0.333333
монголы,0.333333
тутовый шелкопряд,0.333333
доброволец,0.333333
прощание славянки,0.333333
китайцы,0.333333
единорог,0.333333
мисо,0.333333
карате,0.333333
красный флаг,0.333333
вьетнам,0.333333
чайная церемония,0.333333
акупунктура,0.333333
индокитай,0.333333
непал,0.333333
баул,0.333333
модернизация,0.333333
берия,0.333333
фейерверк,0.333333
узкие глаза,0.333333
ширпотреб,0.333333
жучки,0.333333
красный цвет,0.333333
фен-шуй,0.333333
тонкостенность,0.333333
мин,0.333333
фаервол,0.333333
азиаты,0.333333
саяны,0.333333
пинг-понг,0.333333
юани,0.333333
мини-дерево,0.333333
соевый соус,0.333333
секвойя,0.333333
фэнтези,0.333333
великий шелковый путь,0.333333
популяция,0.333333
индустриализация,0.333333
ракеты,0.333333
джонка,0.333333
пошив,0.333333
бодхидхарма,0.333333
шкатулка с секретом,0.333333
бумажный змей,0.333333
китаро,0.333333
традиции,0.333333
хабаровск,0.333333
алибаба,0.333333
теллурократия,0.333333
джет ли,0.333333
фонарики,0.333333
янцзы,0.333333
индонезия,0.333333
поставщик,0.333333
шелкография,0.333333
парящие горы,0.333333
брахмапутра,0.333333
город солнца,0.333333
небесная твердь,0.333333
плантации,0.333333
жёлтое море,0.333333
цигун,0.333333
перенаселение,0.333333
гузель,0.333333
китайка,0.333333
макао,0.333333
жареный скорпион,0.333333
подделки,0.333333
великая китайская стена,0.333333
болванчик,0.333333
