word,popularity
аниме,9.69231
китай,7.90625
самурай,6.75
гейша,5.77778
страна,5
фудзияма,4.55
суши,4.15625
сакура,4.11765
восток,4
токио,3.85714
фукусима,2.91667
азия,2
кимоно,2
хайку,2
оригами,2
синтоизм,2
го,2
хиросима,2
куросава,2
острова,1.35
восход,1.33333
иероглиф,1.3125
остров,1.28571
рис,1.28571
ниндзя,1.28571
курилы,1.25
роботы,1.2
миядзаки,1.2
окинава,1.2
икебана,1.125
тоторо,1.125
дракон,1.125
нагасаки,1.125
самураи,1.125
сумо,1.125
восходящее солнце,1.125
фудзи,1.125
ролы,1.125
акварель,1
порно,1
каллиграфия,1
кобо абэ,1
минимализм,1
сэнсэй,1
сони,1
хризантемы,1
кабуки,1
киото,1
хонсю,1
японское море,1
красный круг,1
няша,1
сегун,1
солнце,0.846154
цунами,0.833333
хокусаи,0.8
робот,0.777778
сад камней,0.777778
восход солнца,0.75
круг,0.714286
харакири,0.666667
катана,0.6
землетрясение,0.6
камикадзе,0.6
робототехника,0.6
йена,0.6
традиции,0.6
море,0.5
машина,0.5
глаза,0.5
морепродукты,0.5
васаби,0.5
манга,0.5
ядерный взрыв,0.5
мисо,0.5
иероглифы,0.5
сансара,0.333333
стихи,0.333333
чай,0.333333
спорт,0.333333
волна,0.333333
будущее,0.333333
шоу,0.333333
язык,0.333333
ссср,0.333333
камни,0.333333
рыба,0.333333
индия,0.333333
мудрец,0.333333
сад,0.333333
сирень,0.333333
глаз,0.333333
редька,0.333333
мощь,0.333333
дзен,0.333333
гора,0.333333
удар,0.333333
бомба,0.333333
крик,0.333333
дизайн,0.333333
будда,0.333333
татуировка,0.333333
некоджиру,0.333333
безопасность,0.333333
резкость,0.333333
шёлк,0.333333
лотос,0.333333
валюта,0.333333
поклон,0.333333
кефир,0.333333
цикады,0.333333
матрёшка,0.333333
извращение,0.333333
богиня,0.333333
звонок,0.333333
акунин,0.333333
вулкан,0.333333
монархия,0.333333
берег,0.333333
палочки,0.333333
чебурашка,0.333333
суша,0.333333
флаг,0.333333
аватар,0.333333
японец,0.333333
зонтики,0.333333
тростник,0.333333
калькулятор,0.333333
небоскрёб,0.333333
молоток,0.333333
анимация,0.333333
айкидо,0.333333
футуризм,0.333333
чаепитие,0.333333
зонт,0.333333
технология,0.333333
инфинити,0.333333
леннон,0.333333
жёсткость,0.333333
странность,0.333333
лао-цзы,0.333333
креветка,0.333333
мисима,0.333333
узкоколейка,0.333333
тайфун,0.333333
крематорий,0.333333
макака,0.333333
поезда,0.333333
японцы,0.333333
щупальца,0.333333
визави,0.333333
император,0.333333
заколка,0.333333
корея,0.333333
атомная бомба,0.333333
провинция,0.333333
наводнение,0.333333
тунец,0.333333
узкоглазый,0.333333
панда,0.333333
караоке,0.333333
лолита,0.333333
сейлор мун,0.333333
ниссан,0.333333
дзюдо,0.333333
карате,0.333333
чайная церемония,0.333333
тихий океан,0.333333
хоккайдо,0.333333
хирако,0.333333
танка,0.333333
джедай,0.333333
саке,0.333333
субару,0.333333
агхори,0.333333
мате,0.333333
гаджеты,0.333333
префектура,0.333333
жёлтый цвет,0.333333
театр теней,0.333333
фугу,0.333333
некромант,0.333333
фэн-шуй,0.333333
стим-панк,0.333333
эйва,0.333333
шаолинь,0.333333
перу,0.333333
брюс ли,0.333333
туамоту,0.333333
покемон,0.333333
семь самураев,0.333333
кио,0.333333
пропорции,0.333333
нагоя,0.333333
ядерное оружие,0.333333
драконы,0.333333
няшность,0.333333
порыв ветра,0.333333
роботоидность,0.333333
вокалоид,0.333333
пагода,0.333333
сатори,0.333333
магнитола,0.333333
орнаментация,0.333333
зорге,0.333333
край света,0.333333
сэппуку,0.333333
тойота,0.333333
продвинутость,0.333333
синта,0.333333
якудза,0.333333
мураками харуки,0.333333
оби,0.333333
атомная станция,0.333333
годзилла,0.333333
фест,0.333333
осака,0.333333
сузуки,0.333333
кавайность,0.333333
темари,0.333333
правый руль,0.333333
хикикомори,0.333333
навсикая,0.333333
микадо,0.333333
хаку,0.333333
рёкан,0.333333
бокен,0.333333
