sex,fb,email_domain,associations,words,badwords,abuse
,0,mail.ru,1,0,3,0
,0,gmail.com,1,1,0,0
,0,yandex.ru,1,0,0,0
,0,yandex.ru,1,0,0,0
,0,gmail.com,1,0,0,0
,0,yandex.ru,1,0,0,0
,0,0leg.net,1,0,0,0
M,1,fotoocherk.ru,1,1,0,0
M,1,gmail.com,1,0,0,0
F,1,mail.ru,1,0,0,0
M,1,bk.ru,1,0,0,0
F,1,gmail.com,1,0,0,0
F,1,gmail.com,1,0,0,0
M,1,mail.ru,1,0,0,0
F,1,gmail.com,1,1,1,0
M,1,gmail.com,1,0,0,0
M,1,gmail.com,1,0,0,0
M,1,gmail.com,1,0,0,0
,0,mail.ru,1,0,0,0
M,1,yahoo.co.uk,1,0,0,0
F,1,gmail.com,1,0,0,0
,0,rambler.ru,1,0,2,0
,0,mail.ru,1,0,0,0
,0,ukr.net,1,0,0,0
F,1,yandex.ru,1,0,0,0
,0,gmail.com,1,0,0,0
,0,yahoo.com,1,0,0,0
,0,mailinator.com,1,0,0,0
F,1,yandex.ru,1,0,0,0
,0,yandex.ru,1,0,0,0
F,1,yandex.ru,1,0,0,0
,0,mail.ru,1,0,0,0
F,1,gmail.com,1,0,0,0
M,1,yandex.ru,1,1,0,0
,0,mail.ru,1,1,0,0
F,1,rambler.ru,1,0,0,0
,0,ya.ru,1,0,0,0
,0,td-va.ru,1,0,2,0
,0,mail.ru,1,0,2,0
M,1,rambler.ru,1,0,0,0
,0,ukr.net,1,0,0,0
F,1,mail.ru,1,0,0,0
F,1,yandex.ru,1,0,0,0
M,1,mail.ru,1,0,0,0
M,1,gmail.com,1,0,0,0
M,1,mail.ru,1,0,0,0
,0,yandex.ru,1,0,0,0
F,1,gmail.com,1,0,0,0
F,1,yandex.ru,1,0,0,0
M,1,mail.ru,1,0,0,0
,0,yandex.ru,1,0,0,0
M,1,mail.ru,1,0,0,0
M,1,gmail.com,1,0,0,0
,0,gmail.com,1,0,0,0
,0,gmail.com,1,0,0,0
M,1,gmail.com,1,0,0,0
M,1,gmail.com,1,0,0,0
M,1,gmail.com,1,0,0,0
,0,gmail.com,1,1,0,0
,0,ya.ru,1,0,0,0
F,1,yandex.ru,1,0,0,0
F,1,gmail.com,1,0,2,0
M,1,,1,0,0,0
F,1,gmail.com,1,0,0,0
F,1,gmail.com,1,0,0,0
F,1,yandex.ru,1,0,0,0
,0,gmail.com,1,0,0,0
,0,gmail.com,1,0,0,0
M,1,mail.ru,1,0,0,0
F,1,tut.by,1,1,0,0
,0,gmail.com,1,0,0,0
M,1,inbox.ru,1,0,0,0
F,1,gmail.com,1,0,0,0
F,1,gmail.com,1,0,0,0
F,1,gmail.com,1,0,0,0
F,1,rambler.ru,1,0,0,0
M,1,gmail.com,1,0,0,0
F,1,gmail.com,1,0,0,0
F,1,mail.ru,1,0,0,0
F,1,mail.ru,1,0,0,0
